Name,Enable,Title,TimeFmt,LeftTitle,LeftLog,LeftMin,LeftMax,RightTitle,RightLog,RightMin,RightMax
wd-comparison,1,Wind Direction Comparison   ,%H,WD (\N{DEGREE SIGN}),,0,360,,,,
wd-hourly,1,Hourly Wind Direction   ,%H,WD (\N{DEGREE SIGN}),,0,360,,,,
ws-comparison,1,Wind Speed Comparison   ,%H,km/h,,,,,,,
ws-hourly,1,Hourly Wind Speed   ,%H,km/h,,,,,,,
wind-combined,1,Combined Wind ,%H,WD (\N{DEGREE SIGN}),,0,360,km/h,,,
radon-data,1,Radon   ,%H,Preliminary Radon Concentration,1,,,,,,
radon-data-linear,1,Radon - Linear Scale,%H,Preliminary Radon Concentration,,,,,,,
hurd3-pressflow,1,HURD3 Pressure and Flow   ,%H,Litres/minute,,,,Pa,,,
bhurd-pressflow,1,BHURD Pressure and Flow   ,%H,Litres/minute,,,,Pa,,,
particle-data,1,Particle Data   ,%H,CN/cc,1,,,,,,
neph-data,1,Nephelometer,%H,\N{DEGREE SIGN} C,,,,-,,,
neph2_data,1,Nephelometer 2,%H,Mm^{-1},,,,\N{DEGREE SIGN} C / %,,,
bc-data,1,Black Carbon Data   ,%H,cc/min,,,,ng/m^3,,,
bc-diag,1,Black Carbon Diagnostics   ,%H,hPa,,,,\N{DEGREE SIGN} C,,,
dmtccn-data,1,DMT CCN ,%H,count,,,,,,,
tap-data,0,TAP ,%H,L/minute,,,,\N{DEGREE SIGN} C,,,
co2-data,1,CO_2 ,%H,ppm,,,,,,,
c-isotopes,1,C Isotopes ,%H,Abundance,,360,460,\N{DEGREE SIGN} C,,,
picarro-ch4-water,1,Picarro CH_4 and Water,%H,%,,,,ppb,,,
n2o-co,1,N_2O and CO,%H,ppb,,,,ppb,,,
gcmd-data-1,1,GCMD Page 1,%H,ppb/ppt,,,,ppb/ppt,,,
gcmd-data-2,1,GCMD Page 2,%H,ppb,,,,,,,
medusa-data-1,1,Medusa Page 1,%H,ppt,,,,ppt,,,
medusa-data-2,1,Medusa Page 2,%H,ppt,,,,ppt,,,
ozone-data,1,Ozone,%H,ppb,,,,,,,
noxy-data,1,NO_{xy} ,%H,Hz,,,5000,Hz,,,30000
noxy-data-0200-0600,1,NO_{xy}  0200->0600,%H:%M,Hz,,,5000,Hz,,,30000
noxy-cal-flow,1,AQD NO Cal Flow,%H,sccm,,-1,10,,,,
noxy-other-flows,1,AQD Sample and Oxygen Flow,%H,sccm,,600,1200,sccm,,0,200
eco-nox-data,1,Eco NO_x,%H,count,,,40000,count,,,5000
eco-nox-cal,1,Eco NO_x Cal 0200-0600,%H:%M,count,,,40000,count,,,5000
eco-nox-temp,1,Eco NO_x Temperatures   ,%H,\N{DEGREE SIGN} C,,10,65,,,,
eco-nox-press,1,Eco NO_x Pressures   ,%H,mbar,,300,1100,mbar,,25,90
thermo-nox-data,0,Thermo NO_x,%H,ppb,,,,,,,
nox-pressure,1,NO_x Pressure,%H,hPa,,,,hPa,,,
nox-flow,1,NO_x Flow ,%H,Litres/minute,,,,psi/\N{DEGREE SIGN} C,,,
mercury-data,1,Mercury ,%H,ng/m^3,,0,2,,,,
merc-fullscale-data,1,Mercury (full scale)   ,%H,ng/m^3,,,,,,,
biometer-data,0,Biometer ,%H,\N{DEGREE SIGN} C,,,,Voltage,,,
temperature-data,1,Temperature ,%H,\N{DEGREE SIGN} C,,,,,,,
dewpoint-data,1,Dew Point ,%H,\N{DEGREE SIGN} C,,,,,,,
pressure-data,1,Atmospheric Pressure  ,%H,hPa,,,,,,,
labtemp-data,1,Lab Temperature  ,%H,\N{DEGREE SIGN} C,,,,,,,
stationair-data,1,Station Air Pressure   ,%H,bar,,,,,,,
70m-co2-flowrate,1,70m CO_2 flowrate   ,%H,m/s,,,,,,,
